year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,party.pct
2020,NORTH DAKOTA,ND,CASS,38017,PRESIDENT,DONALD J TRUMP,REPUBLICAN,42619,86053,20210622,TOTAL,49.52645462679976
2020,OREGON,OR,MULTNOMAH,41051,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,367249,463659,20210622,TOTAL,79.20670147673182
2020,PENNSYLVANIA,PA,PHILADELPHIA,42101,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,603790,741377,20210622,TOTAL,81.4416956555167
2020,RHODE ISLAND,RI,PROVIDENCE,44007,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,165012,272667,20210622,TOTAL,60.51777442814862
2020,SOUTH CAROLINA,SC,GREENVILLE,45045,PRESIDENT,DONALD J TRUMP,REPUBLICAN,110201,258155,20210622,ELECTION DAY,42.687920048033156
2020,TEXAS,TX,HARRIS,48201,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,918193,1640818,20210622,TOTAL,55.959466558753014
2020,VERMONT,VT,CHITTENDEN,50007,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,72938,96755,20210622,TOTAL,75.38421786987752
2020,WEST VIRGINIA,WV,KANAWHA,54039,PRESIDENT,DONALD J TRUMP,REPUBLICAN,46398,82244,20210622,TOTAL,56.41505763338359
2020,MARYLAND,MD,PRINCE GEORGE'S,24033,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,168777,424855,20210622,ABSENTEE,39.72578879853126
2020,MASSACHUSETTS,MA,MIDDLESEX,25017,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,617196,869347,20210622,TOTAL,70.99535628465964
2020,MONTANA,MT,YELLOWSTONE,30111,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,50772,83821,20210622,TOTAL,60.57193304780425
2020,NEBRASKA,NE,DOUGLAS,31055,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,150350,274951,20210622,TOTAL,54.68247069477834
2020,OHIO,OH,CUYAHOGA,39035,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,416176,625670,20210622,TOTAL,66.51685393258427
2020,OKLAHOMA,OK,TULSA,40143,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,123815,266678,20210622,ELECTION DAY,46.428651782299255
2020,SOUTH DAKOTA,SD,MINNEHAHA,46099,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,49249,92326,20210622,TOTAL,53.34250373675887
2020,TENNESSEE,TN,SHELBY,47157,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,246105,382055,20210622,TOTAL,64.41611809817958
2020,UTAH,UT,SALT LAKE,49035,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,271576,546581,20210622,MAIL,49.6863227957064
2020,VIRGINIA,VA,FAIRFAX,51059,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,321219,601243,20210622,ABSENTEE,53.42581951058059
2020,WASHINGTON,WA,KING,53033,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,907310,1210507,20210622,TOTAL,74.95289163961877
2020,WISCONSIN,WI,MILWAUKEE,55079,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,317270,458971,20210622,TOTAL,69.12637181869879
2020,WYOMING,WY,LARAMIE,56021,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,27891,45237,20210622,TOTAL,61.65528218051595
