year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,party.pct
2000,ILLINOIS,IL,KENDALL,17093,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13688,22769,20191203,TOTAL,60.11682550836663
2000,ILLINOIS,IL,LAKE,17097,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,120988,242164,20191203,TOTAL,49.96118333030508
2000,ILLINOIS,IL,LASALLE,17099,PRESIDENT,AL GORE,DEMOCRAT,23355,46007,20191203,TOTAL,50.764014171756465
2000,ILLINOIS,IL,MCDONOUGH,17109,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6465,13012,20191203,TOTAL,49.68490624039348
2000,ILLINOIS,IL,MCHENRY,17111,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,62112,106185,20191203,TOTAL,58.4941375900551
2000,ILLINOIS,IL,MCLEAN,17113,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,34008,60898,20191203,TOTAL,55.84419849584551
2000,ILLINOIS,IL,MACON,17115,PRESIDENT,AL GORE,DEMOCRAT,24262,49499,20191203,TOTAL,49.01513161882058
2000,ILLINOIS,IL,MACOUPIN,17117,PRESIDENT,AL GORE,DEMOCRAT,11015,21389,20191203,TOTAL,51.49843377437
2000,ILLINOIS,IL,MASSAC,17127,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3676,6744,20191203,TOTAL,54.50771055753262
2000,ILLINOIS,IL,MENARD,17129,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3862,6202,20191203,TOTAL,62.27023540793293
2000,ILLINOIS,IL,MOULTRIE,17139,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3058,5725,20191203,TOTAL,53.414847161572055
2000,ILLINOIS,IL,OGLE,17141,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12325,20601,20191203,TOTAL,59.8271928547158
2000,ILLINOIS,IL,PEORIA,17143,PRESIDENT,AL GORE,DEMOCRAT,38604,76812,20191203,TOTAL,50.25777222309015
2000,ILLINOIS,IL,PIATT,17147,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4619,8385,20191203,TOTAL,55.08646392367322
2000,ILLINOIS,IL,ROCK ISLAND,17161,PRESIDENT,AL GORE,DEMOCRAT,37957,65095,20191203,TOTAL,58.31016207081957
2000,ILLINOIS,IL,ST. CLAIR,17163,PRESIDENT,AL GORE,DEMOCRAT,55961,100393,20191203,TOTAL,55.74193419859951
2000,ILLINOIS,IL,SANGAMON,17167,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,50374,91485,20191203,TOTAL,55.06257856479204
2000,ILLINOIS,IL,STEPHENSON,17177,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10715,19378,20191203,TOTAL,55.29466405201775
2000,ILLINOIS,IL,TAZEWELL,17179,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,31537,58348,20191203,TOTAL,54.04983889764859
2000,ILLINOIS,IL,VERMILION,17183,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,15783,32100,20191203,TOTAL,49.16822429906542
2000,ILLINOIS,IL,WHITESIDE,17195,PRESIDENT,AL GORE,DEMOCRAT,12886,24837,20191203,TOTAL,51.88227241615332
2000,ILLINOIS,IL,WILL,17197,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,95828,191670,20191203,TOTAL,49.99634788960192
2000,ILLINOIS,IL,WINNEBAGO,17201,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,53816,109297,20191203,TOTAL,49.23831395189255
2000,ILLINOIS,IL,WOODFORD,17203,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,10905,16793,20191203,TOTAL,64.93777169058536
